Date,Team,rank,position,CumPts
2023-08-11,Sheffield United,2.0,16,0.0
2023-08-12,Sheffield United,16.0,17,0.0
2023-08-13,Sheffield United,16.0,17,0.0
2023-08-14,Sheffield United,15.0,16,0.0
2023-08-18,Sheffield United,17.0,17,0.0
2023-08-19,Sheffield United,16.0,16,0.0
2023-08-20,Sheffield United,16.0,16,0.0
2023-08-21,Sheffield United,16.0,16,0.0
2023-08-25,Sheffield United,16.0,16,0.0
2023-08-26,Sheffield United,17.0,17,0.0
2023-08-27,Sheffield United,17.0,17,0.0
2023-09-01,Sheffield United,17.0,17,0.0
2023-09-02,Sheffield United,17.0,17,1.0
2023-09-03,Sheffield United,17.0,17,1.0
2023-09-16,Sheffield United,17.0,17,1.0
2023-09-17,Sheffield United,17.0,17,1.0
2023-09-18,Sheffield United,17.0,17,1.0
2023-09-23,Sheffield United,18.0,18,1.0
2023-09-24,Sheffield United,20.0,20,1.0
2023-09-30,Sheffield United,20.0,20,1.0
2023-10-01,Sheffield United,20.0,20,1.0
2023-10-02,Sheffield United,20.0,20,1.0
2023-10-03,Sheffield United,20.0,20,1.0
2023-10-07,Sheffield United,20.0,20,1.0
2023-10-08,Sheffield United,20.0,20,1.0
2023-10-21,Sheffield United,20.0,20,1.0
2023-10-22,Sheffield United,20.0,20,1.0
2023-10-23,Sheffield United,20.0,20,1.0
2023-10-27,Sheffield United,20.0,20,1.0
2023-10-28,Sheffield United,20.0,20,1.0
2023-10-29,Sheffield United,20.0,20,1.0
2023-11-04,Sheffield United,20.0,20,4.0
2023-11-05,Sheffield United,20.0,20,4.0
2023-11-06,Sheffield United,20.0,20,4.0
2023-11-11,Sheffield United,19.0,20,4.0
2023-11-12,Sheffield United,19.0,19,5.0
2023-11-17,Sheffield United,18.0,18,5.0
2023-11-25,Sheffield United,18.0,18,5.0
2023-11-26,Sheffield United,18.0,18,5.0
2023-11-27,Sheffield United,18.0,18,5.0
2023-12-02,Sheffield United,20.0,20,5.0
2023-12-03,Sheffield United,20.0,20,5.0
2023-12-05,Sheffield United,20.0,20,5.0
2023-12-06,Sheffield United,20.0,20,5.0
2023-12-07,Sheffield United,20.0,20,5.0
2023-12-09,Sheffield United,20.0,20,8.0
2023-12-10,Sheffield United,20.0,20,8.0
2023-12-15,Sheffield United,20.0,20,8.0
2023-12-16,Sheffield United,20.0,20,8.0
2023-12-17,Sheffield United,20.0,20,8.0
2023-12-21,Sheffield United,20.0,20,8.0
2023-12-22,Sheffield United,19.0,19,9.0
2023-12-23,Sheffield United,20.0,20,9.0
2023-12-24,Sheffield United,20.0,20,9.0
2023-12-26,Sheffield United,20.0,20,9.0
2023-12-27,Sheffield United,20.0,20,9.0
2023-12-28,Sheffield United,20.0,20,9.0
2023-12-30,Sheffield United,20.0,20,9.0
2023-12-31,Sheffield United,20.0,20,9.0
2024-01-01,Sheffield United,20.0,20,9.0
2024-01-02,Sheffield United,20.0,20,9.0
2024-01-12,Sheffield United,20.0,20,9.0
2024-01-13,Sheffield United,20.0,20,9.0
2024-01-14,Sheffield United,20.0,20,9.0
2024-01-20,Sheffield United,20.0,20,9.0
2024-01-21,Sheffield United,20.0,20,10.0
2024-01-22,Sheffield United,20.0,20,10.0
2024-01-30,Sheffield United,20.0,20,10.0
2024-01-31,Sheffield United,20.0,20,10.0
2024-02-01,Sheffield United,20.0,20,10.0
2024-02-03,Sheffield United,20.0,20,10.0
2024-02-04,Sheffield United,20.0,20,10.0
2024-02-05,Sheffield United,20.0,20,10.0
2024-02-10,Sheffield United,20.0,20,13.0
2024-02-11,Sheffield United,20.0,20,13.0
2024-02-12,Sheffield United,20.0,20,13.0
2024-02-17,Sheffield United,20.0,20,13.0
2024-02-18,Sheffield United,20.0,20,13.0
2024-02-19,Sheffield United,20.0,20,13.0
2024-02-20,Sheffield United,20.0,20,13.0
2024-02-21,Sheffield United,20.0,20,13.0
2024-02-24,Sheffield United,20.0,20,13.0
2024-02-25,Sheffield United,20.0,20,13.0
2024-02-26,Sheffield United,20.0,20,13.0
2024-03-02,Sheffield United,20.0,20,13.0
2024-03-03,Sheffield United,20.0,20,13.0
2024-03-04,Sheffield United,20.0,20,13.0
2024-03-09,Sheffield United,19.0,19,14.0
2024-03-10,Sheffield United,20.0,20,14.0
2024-03-11,Sheffield United,20.0,20,14.0
2024-03-13,Sheffield United,20.0,20,14.0
2024-03-16,Sheffield United,20.0,20,14.0
2024-03-17,Sheffield United,20.0,20,14.0
2024-03-18,Sheffield United,20.0,20,14.0
2024-03-30,Sheffield United,20.0,20,15.0
2024-03-31,Sheffield United,20.0,20,15.0
2024-04-02,Sheffield United,20.0,20,15.0
2024-04-03,Sheffield United,20.0,20,15.0
2024-04-04,Sheffield United,20.0,20,15.0
2024-04-06,Sheffield United,20.0,20,15.0
2024-04-07,Sheffield United,20.0,20,16.0
2024-04-08,Sheffield United,20.0,20,16.0
2024-04-13,Sheffield United,20.0,20,16.0
2024-04-14,Sheffield United,20.0,20,16.0
2024-04-15,Sheffield United,20.0,20,16.0
2024-04-20,Sheffield United,20.0,20,16.0
2024-04-21,Sheffield United,20.0,20,16.0
2024-04-23,Sheffield United,20.0,20,16.0
2024-04-24,Sheffield United,20.0,20,16.0
2024-04-25,Sheffield United,20.0,20,16.0
2024-04-27,Sheffield United,20.0,20,16.0
2024-04-28,Sheffield United,20.0,20,16.0
2024-05-02,Sheffield United,20.0,20,16.0
2024-05-03,Sheffield United,20.0,20,16.0
2024-05-04,Sheffield United,20.0,20,16.0
2024-05-05,Sheffield United,20.0,20,16.0
2024-05-06,Sheffield United,20.0,20,16.0
2024-05-11,Sheffield United,20.0,20,16.0
2024-05-12,Sheffield United,20.0,20,16.0
2024-05-13,Sheffield United,20.0,20,16.0
2024-05-14,Sheffield United,20.0,20,16.0
2024-05-15,Sheffield United,20.0,20,16.0
2024-05-19,Sheffield United,20.0,20,16.0
2023-08-11,Burnley,20.0,20,0.0
2023-08-12,Burnley,19.0,19,0.0
2023-08-13,Burnley,19.0,19,0.0
2023-08-14,Burnley,19.0,19,0.0
2023-08-18,Burnley,19.0,19,0.0
2023-08-19,Burnley,18.0,18,0.0
2023-08-20,Burnley,18.0,18,0.0
2023-08-21,Burnley,18.0,18,0.0
2023-08-25,Burnley,17.0,17,0.0
2023-08-26,Burnley,18.0,18,0.0
2023-08-27,Burnley,18.0,18,0.0
2023-09-01,Burnley,18.0,18,0.0
2023-09-02,Burnley,20.0,20,0.0
2023-09-03,Burnley,20.0,20,0.0
2023-09-16,Burnley,19.0,19,0.0
2023-09-17,Burnley,19.0,19,0.0
2023-09-18,Burnley,19.0,19,1.0
2023-09-23,Burnley,20.0,20,1.0
2023-09-24,Burnley,19.0,19,1.0
2023-09-30,Burnley,19.0,19,1.0
2023-10-01,Burnley,19.0,19,1.0
2023-10-02,Burnley,19.0,19,1.0
2023-10-03,Burnley,18.0,18,4.0
2023-10-07,Burnley,18.0,18,4.0
2023-10-08,Burnley,18.0,18,4.0
2023-10-21,Burnley,18.0,18,4.0
2023-10-22,Burnley,18.0,18,4.0
2023-10-23,Burnley,18.0,18,4.0
2023-10-27,Burnley,18.0,18,4.0
2023-10-28,Burnley,19.0,19,4.0
2023-10-29,Burnley,19.0,19,4.0
2023-11-04,Burnley,19.0,19,4.0
2023-11-05,Burnley,19.0,19,4.0
2023-11-06,Burnley,19.0,19,4.0
2023-11-11,Burnley,19.0,19,4.0
2023-11-12,Burnley,20.0,20,4.0
2023-11-17,Burnley,20.0,20,4.0
2023-11-25,Burnley,20.0,20,4.0
2023-11-26,Burnley,20.0,20,4.0
2023-11-27,Burnley,20.0,20,4.0
2023-12-02,Burnley,19.0,19,7.0
2023-12-03,Burnley,19.0,19,7.0
2023-12-05,Burnley,19.0,19,7.0
2023-12-06,Burnley,19.0,19,7.0
2023-12-07,Burnley,19.0,19,7.0
2023-12-09,Burnley,19.0,19,8.0
2023-12-10,Burnley,19.0,19,8.0
2023-12-15,Burnley,19.0,19,8.0
2023-12-16,Burnley,19.0,19,8.0
2023-12-17,Burnley,19.0,19,8.0
2023-12-21,Burnley,19.0,19,8.0
2023-12-22,Burnley,20.0,20,8.0
2023-12-23,Burnley,19.0,19,11.0
2023-12-24,Burnley,19.0,19,11.0
2023-12-26,Burnley,19.0,19,11.0
2023-12-27,Burnley,19.0,19,11.0
2023-12-28,Burnley,19.0,19,11.0
2023-12-30,Burnley,19.0,19,11.0
2023-12-31,Burnley,19.0,19,11.0
2024-01-01,Burnley,19.0,19,11.0
2024-01-02,Burnley,19.0,19,11.0
2024-01-12,Burnley,19.0,19,12.0
2024-01-13,Burnley,19.0,19,12.0
2024-01-14,Burnley,19.0,19,12.0
2024-01-20,Burnley,19.0,19,12.0
2024-01-21,Burnley,19.0,19,12.0
2024-01-22,Burnley,19.0,19,12.0
2024-01-30,Burnley,19.0,19,12.0
2024-01-31,Burnley,19.0,19,12.0
2024-02-01,Burnley,19.0,19,12.0
2024-02-03,Burnley,19.0,19,13.0
2024-02-04,Burnley,19.0,19,13.0
2024-02-05,Burnley,19.0,19,13.0
2024-02-10,Burnley,19.0,19,13.0
2024-02-11,Burnley,19.0,19,13.0
2024-02-12,Burnley,19.0,19,13.0
2024-02-17,Burnley,19.0,19,13.0
2024-02-18,Burnley,19.0,19,13.0
2024-02-19,Burnley,19.0,19,13.0
2024-02-20,Burnley,19.0,19,13.0
2024-02-21,Burnley,19.0,19,13.0
2024-02-24,Burnley,19.0,19,13.0
2024-02-25,Burnley,19.0,19,13.0
2024-02-26,Burnley,19.0,19,13.0
2024-03-02,Burnley,19.0,19,13.0
2024-03-03,Burnley,19.0,19,13.0
2024-03-04,Burnley,19.0,19,13.0
2024-03-09,Burnley,20.0,20,13.0
2024-03-10,Burnley,19.0,19,14.0
2024-03-11,Burnley,19.0,19,14.0
2024-03-13,Burnley,19.0,19,14.0
2024-03-16,Burnley,19.0,19,17.0
2024-03-17,Burnley,19.0,19,17.0
2024-03-18,Burnley,19.0,19,17.0
2024-03-30,Burnley,19.0,19,18.0
2024-03-31,Burnley,19.0,19,18.0
2024-04-02,Burnley,19.0,19,19.0
2024-04-03,Burnley,19.0,19,19.0
2024-04-04,Burnley,19.0,19,19.0
2024-04-06,Burnley,19.0,19,19.0
2024-04-07,Burnley,19.0,19,19.0
2024-04-08,Burnley,19.0,19,19.0
2024-04-13,Burnley,19.0,19,20.0
2024-04-14,Burnley,19.0,19,20.0
2024-04-15,Burnley,19.0,19,20.0
2024-04-20,Burnley,19.0,19,23.0
2024-04-21,Burnley,19.0,19,23.0
2024-04-23,Burnley,19.0,19,23.0
2024-04-24,Burnley,19.0,19,23.0
2024-04-25,Burnley,19.0,19,23.0
2024-04-27,Burnley,19.0,19,24.0
2024-04-28,Burnley,19.0,19,24.0
2024-05-02,Burnley,19.0,19,24.0
2024-05-03,Burnley,19.0,19,24.0
2024-05-04,Burnley,19.0,19,24.0
2024-05-05,Burnley,19.0,19,24.0
2024-05-06,Burnley,19.0,19,24.0
2024-05-11,Burnley,19.0,19,24.0
2024-05-12,Burnley,19.0,19,24.0
2024-05-13,Burnley,19.0,19,24.0
2024-05-14,Burnley,19.0,19,24.0
2024-05-15,Burnley,19.0,19,24.0
2024-05-19,Burnley,19.0,19,24.0
2023-08-11,Luton,2.0,12,0.0
2023-08-12,Luton,18.0,18,0.0
2023-08-13,Luton,18.0,18,0.0
2023-08-14,Luton,18.0,18,0.0
2023-08-18,Luton,18.0,18,0.0
2023-08-19,Luton,17.0,17,0.0
2023-08-20,Luton,17.0,17,0.0
2023-08-21,Luton,17.0,17,0.0
2023-08-25,Luton,20.0,20,0.0
2023-08-26,Luton,19.0,19,0.0
2023-08-27,Luton,19.0,19,0.0
2023-09-01,Luton,20.0,20,0.0
2023-09-02,Luton,19.0,19,0.0
2023-09-03,Luton,19.0,19,0.0
2023-09-16,Luton,20.0,20,0.0
2023-09-17,Luton,20.0,20,0.0
2023-09-18,Luton,20.0,20,0.0
2023-09-23,Luton,19.0,19,1.0
2023-09-24,Luton,18.0,18,1.0
2023-09-30,Luton,17.0,17,4.0
2023-10-01,Luton,17.0,17,4.0
2023-10-02,Luton,17.0,17,4.0
2023-10-03,Luton,17.0,17,4.0
2023-10-07,Luton,17.0,17,4.0
2023-10-08,Luton,17.0,17,4.0
2023-10-21,Luton,17.0,17,5.0
2023-10-22,Luton,17.0,17,5.0
2023-10-23,Luton,17.0,17,5.0
2023-10-27,Luton,17.0,17,5.0
2023-10-28,Luton,18.0,18,5.0
2023-10-29,Luton,18.0,18,5.0
2023-11-04,Luton,18.0,18,5.0
2023-11-05,Luton,17.0,17,6.0
2023-11-06,Luton,17.0,17,6.0
2023-11-11,Luton,18.0,18,6.0
2023-11-12,Luton,18.0,18,6.0
2023-11-17,Luton,17.0,17,6.0
2023-11-25,Luton,17.0,17,9.0
2023-11-26,Luton,17.0,17,9.0
2023-11-27,Luton,17.0,17,9.0
2023-12-02,Luton,17.0,17,9.0
2023-12-03,Luton,17.0,17,9.0
2023-12-05,Luton,17.0,17,9.0
2023-12-06,Luton,17.0,17,9.0
2023-12-07,Luton,18.0,18,9.0
2023-12-09,Luton,18.0,18,9.0
2023-12-10,Luton,18.0,18,9.0
2023-12-15,Luton,18.0,18,9.0
2023-12-16,Luton,18.0,18,9.0
2023-12-17,Luton,18.0,18,9.0
2023-12-21,Luton,18.0,18,9.0
2023-12-22,Luton,18.0,18,9.0
2023-12-23,Luton,18.0,18,12.0
2023-12-24,Luton,18.0,18,12.0
2023-12-26,Luton,18.0,18,15.0
2023-12-27,Luton,18.0,18,15.0
2023-12-28,Luton,18.0,18,15.0
2023-12-30,Luton,18.0,18,15.0
2023-12-31,Luton,18.0,18,15.0
2024-01-01,Luton,18.0,18,15.0
2024-01-02,Luton,18.0,18,15.0
2024-01-12,Luton,18.0,18,16.0
2024-01-13,Luton,18.0,18,16.0
2024-01-14,Luton,18.0,18,16.0
2024-01-20,Luton,18.0,18,16.0
2024-01-21,Luton,18.0,18,16.0
2024-01-22,Luton,18.0,18,16.0
2024-01-30,Luton,17.0,17,19.0
2024-01-31,Luton,17.0,17,19.0
2024-02-01,Luton,17.0,17,19.0
2024-02-03,Luton,16.0,16,20.0
2024-02-04,Luton,17.0,17,20.0
2024-02-05,Luton,17.0,17,20.0
2024-02-10,Luton,17.0,17,20.0
2024-02-11,Luton,17.0,17,20.0
2024-02-12,Luton,17.0,17,20.0
2024-02-17,Luton,17.0,17,20.0
2024-02-18,Luton,17.0,17,20.0
2024-02-19,Luton,18.0,18,20.0
2024-02-20,Luton,18.0,18,20.0
2024-02-21,Luton,18.0,18,20.0
2024-02-24,Luton,18.0,18,20.0
2024-02-25,Luton,18.0,18,20.0
2024-02-26,Luton,18.0,18,20.0
2024-03-02,Luton,18.0,18,20.0
2024-03-03,Luton,18.0,18,20.0
2024-03-04,Luton,18.0,18,20.0
2024-03-09,Luton,18.0,18,21.0
2024-03-10,Luton,18.0,18,21.0
2024-03-11,Luton,18.0,18,21.0
2024-03-13,Luton,18.0,18,21.0
2024-03-16,Luton,18.0,18,22.0
2024-03-17,Luton,18.0,18,22.0
2024-03-18,Luton,17.0,17,22.0
2024-03-30,Luton,18.0,18,22.0
2024-03-31,Luton,18.0,18,22.0
2024-04-02,Luton,18.0,18,22.0
2024-04-03,Luton,18.0,18,22.0
2024-04-04,Luton,18.0,18,22.0
2024-04-06,Luton,18.0,18,25.0
2024-04-07,Luton,18.0,18,25.0
2024-04-08,Luton,18.0,18,25.0
2024-04-13,Luton,18.0,18,25.0
2024-04-14,Luton,18.0,18,25.0
2024-04-15,Luton,18.0,18,25.0
2024-04-20,Luton,18.0,18,25.0
2024-04-21,Luton,18.0,18,25.0
2024-04-23,Luton,18.0,18,25.0
2024-04-24,Luton,18.0,18,25.0
2024-04-25,Luton,18.0,18,25.0
2024-04-27,Luton,18.0,18,25.0
2024-04-28,Luton,18.0,18,25.0
2024-05-02,Luton,18.0,18,25.0
2024-05-03,Luton,18.0,18,26.0
2024-05-04,Luton,18.0,18,26.0
2024-05-05,Luton,18.0,18,26.0
2024-05-06,Luton,18.0,18,26.0
2024-05-11,Luton,18.0,18,26.0
2024-05-12,Luton,18.0,18,26.0
2024-05-13,Luton,18.0,18,26.0
2024-05-14,Luton,18.0,18,26.0
2024-05-15,Luton,18.0,18,26.0
2024-05-19,Luton,18.0,18,26.0
2023-08-11,Nottm Forest,2.0,15,0.0
2023-08-12,Nottm Forest,15.0,15,0.0
2023-08-13,Nottm Forest,15.0,15,0.0
2023-08-14,Nottm Forest,14.0,14,0.0
2023-08-18,Nottm Forest,8.0,8,3.0
2023-08-19,Nottm Forest,9.0,9,3.0
2023-08-20,Nottm Forest,11.0,11,3.0
2023-08-21,Nottm Forest,10.0,10,3.0
2023-08-25,Nottm Forest,11.0,11,3.0
2023-08-26,Nottm Forest,14.0,14,3.0
2023-08-27,Nottm Forest,14.0,14,3.0
2023-09-01,Nottm Forest,14.0,14,3.0
2023-09-02,Nottm Forest,9.0,9,6.0
2023-09-03,Nottm Forest,9.0,9,6.0
2023-09-16,Nottm Forest,12.0,12,6.0
2023-09-17,Nottm Forest,12.0,12,6.0
2023-09-18,Nottm Forest,8.0,8,7.0
2023-09-23,Nottm Forest,11.0,11,7.0
2023-09-24,Nottm Forest,12.0,12,7.0
2023-09-30,Nottm Forest,12.0,12,7.0
2023-10-01,Nottm Forest,11.0,11,8.0
2023-10-02,Nottm Forest,12.0,12,8.0
2023-10-03,Nottm Forest,12.0,12,8.0
2023-10-07,Nottm Forest,13.0,13,9.0
2023-10-08,Nottm Forest,13.0,13,9.0
2023-10-21,Nottm Forest,15.0,15,10.0
2023-10-22,Nottm Forest,15.0,15,10.0
2023-10-23,Nottm Forest,15.0,15,10.0
2023-10-27,Nottm Forest,15.0,15,10.0
2023-10-28,Nottm Forest,15.0,15,10.0
2023-10-29,Nottm Forest,16.0,16,10.0
2023-11-04,Nottm Forest,16.0,16,10.0
2023-11-05,Nottm Forest,12.0,12,13.0
2023-11-06,Nottm Forest,13.0,13,13.0
2023-11-11,Nottm Forest,15.0,15,13.0
2023-11-12,Nottm Forest,15.0,15,13.0
2023-11-17,Nottm Forest,14.0,14,13.0
2023-11-25,Nottm Forest,14.0,14,13.0
2023-11-26,Nottm Forest,14.0,14,13.0
2023-11-27,Nottm Forest,15.0,15,13.0
2023-12-02,Nottm Forest,15.0,15,13.0
2023-12-03,Nottm Forest,15.0,15,13.0
2023-12-05,Nottm Forest,15.0,15,13.0
2023-12-06,Nottm Forest,16.0,16,13.0
2023-12-07,Nottm Forest,16.0,16,13.0
2023-12-09,Nottm Forest,16.0,16,14.0
2023-12-10,Nottm Forest,16.0,16,14.0
2023-12-15,Nottm Forest,16.0,16,14.0
2023-12-16,Nottm Forest,17.0,17,14.0
2023-12-17,Nottm Forest,17.0,17,14.0
2023-12-21,Nottm Forest,17.0,17,14.0
2023-12-22,Nottm Forest,17.0,17,14.0
2023-12-23,Nottm Forest,17.0,17,14.0
2023-12-24,Nottm Forest,17.0,17,14.0
2023-12-26,Nottm Forest,16.0,16,17.0
2023-12-27,Nottm Forest,16.0,16,17.0
2023-12-28,Nottm Forest,16.0,16,17.0
2023-12-30,Nottm Forest,15.0,15,20.0
2023-12-31,Nottm Forest,15.0,15,20.0
2024-01-01,Nottm Forest,15.0,15,20.0
2024-01-02,Nottm Forest,15.0,15,20.0
2024-01-12,Nottm Forest,15.0,15,20.0
2024-01-13,Nottm Forest,15.0,15,20.0
2024-01-14,Nottm Forest,15.0,15,20.0
2024-01-20,Nottm Forest,16.0,16,20.0
2024-01-21,Nottm Forest,16.0,16,20.0
2024-01-22,Nottm Forest,16.0,16,20.0
2024-01-30,Nottm Forest,16.0,16,20.0
2024-01-31,Nottm Forest,16.0,16,20.0
2024-02-01,Nottm Forest,16.0,16,20.0
2024-02-03,Nottm Forest,17.0,17,20.0
2024-02-04,Nottm Forest,16.0,16,21.0
2024-02-05,Nottm Forest,16.0,16,21.0
2024-02-10,Nottm Forest,16.0,16,21.0
2024-02-11,Nottm Forest,16.0,16,21.0
2024-02-12,Nottm Forest,16.0,16,21.0
2024-02-17,Nottm Forest,15.0,15,24.0
2024-02-18,Nottm Forest,15.0,15,24.0
2024-02-19,Nottm Forest,16.0,16,24.0
2024-02-20,Nottm Forest,16.0,16,24.0
2024-02-21,Nottm Forest,16.0,16,24.0
2024-02-24,Nottm Forest,16.0,16,24.0
2024-02-25,Nottm Forest,16.0,16,24.0
2024-02-26,Nottm Forest,17.0,17,24.0
2024-03-02,Nottm Forest,17.0,17,24.0
2024-03-03,Nottm Forest,17.0,17,24.0
2024-03-04,Nottm Forest,17.0,17,24.0
2024-03-09,Nottm Forest,17.0,17,24.0
2024-03-10,Nottm Forest,17.0,17,24.0
2024-03-11,Nottm Forest,17.0,17,24.0
2024-03-13,Nottm Forest,17.0,17,24.0
2024-03-16,Nottm Forest,17.0,17,25.0
2024-03-17,Nottm Forest,17.0,17,25.0
2024-03-18,Nottm Forest,18.0,18,21.0
2024-03-30,Nottm Forest,17.0,17,22.0
2024-03-31,Nottm Forest,17.0,17,22.0
2024-04-02,Nottm Forest,17.0,17,25.0
2024-04-03,Nottm Forest,17.0,17,25.0
2024-04-04,Nottm Forest,17.0,17,25.0
2024-04-06,Nottm Forest,17.0,17,25.0
2024-04-07,Nottm Forest,17.0,17,25.0
2024-04-08,Nottm Forest,17.0,17,25.0
2024-04-13,Nottm Forest,17.0,17,26.0
2024-04-14,Nottm Forest,17.0,17,26.0
2024-04-15,Nottm Forest,17.0,17,26.0
2024-04-20,Nottm Forest,17.0,17,26.0
2024-04-21,Nottm Forest,17.0,17,26.0
2024-04-23,Nottm Forest,17.0,17,26.0
2024-04-24,Nottm Forest,17.0,17,26.0
2024-04-25,Nottm Forest,17.0,17,26.0
2024-04-27,Nottm Forest,17.0,17,26.0
2024-04-28,Nottm Forest,17.0,17,26.0
2024-05-02,Nottm Forest,17.0,17,26.0
2024-05-03,Nottm Forest,17.0,17,26.0
2024-05-04,Nottm Forest,17.0,17,29.0
2024-05-05,Nottm Forest,17.0,17,29.0
2024-05-06,Nottm Forest,17.0,17,29.0
2024-05-11,Nottm Forest,17.0,17,29.0
2024-05-12,Nottm Forest,17.0,17,29.0
2024-05-13,Nottm Forest,17.0,17,29.0
2024-05-14,Nottm Forest,17.0,17,29.0
2024-05-15,Nottm Forest,17.0,17,29.0
2024-05-19,Nottm Forest,17.0,17,32.0
2023-08-11,Brentford,2.0,5,0.0
2023-08-12,Brentford,9.0,9,0.0
2023-08-13,Brentford,7.0,7,1.0
2023-08-14,Brentford,8.0,8,1.0
2023-08-18,Brentford,9.0,9,1.0
2023-08-19,Brentford,3.0,3,4.0
2023-08-20,Brentford,3.0,3,4.0
2023-08-21,Brentford,4.0,4,4.0
2023-08-25,Brentford,4.0,4,4.0
2023-08-26,Brentford,7.0,7,5.0
2023-08-27,Brentford,9.0,9,5.0
2023-09-01,Brentford,9.0,9,5.0
2023-09-02,Brentford,7.0,7,6.0
2023-09-03,Brentford,8.0,8,6.0
2023-09-16,Brentford,10.0,10,6.0
