date,player_team,value,rank,player,team
2025-08-15,alexismacallister_liverpool,1.0,1.0,Alexis Mac Allister,Liverpool
2025-08-15,davidbrooks_bournemouth,1.0,2.0,David Brooks,Bournemouth
2025-08-15,hamedjuniortraore_bournemouth,1.0,3.0,Hamed Junior Traore,Bournemouth
2025-08-15,hugoekitike_liverpool,1.0,4.0,Hugo Ekitike,Liverpool
2025-08-15,wataruendo_liverpool,1.0,5.0,Wataru Endo,Liverpool
2025-08-15,alexiwobi_fulham,0.0,6.0,Alex Iwobi,Fulham
2025-08-15,antoinesemenyo_bournemouth,0.0,7.0,Antoine Semenyo,Bournemouth
2025-08-15,antonstach_leedsunited,0.0,8.0,Anton Stach,Leeds United
2025-08-15,bernardosilva_manchestercity,0.0,9.0,Bernardo Silva,Manchester City
2025-08-15,boubacarkamara_astonvilla,0.0,10.0,Boubacar Kamara,Aston Villa
2025-08-15,brajangruda_brighton,0.0,11.0,Brajan Gruda,Brighton
2025-08-15,chemsdinetalbi_sunderland,0.0,12.0,Chemsdine Talbi,Sunderland
2025-08-15,codygakpo_liverpool,0.0,13.0,Cody Gakpo,Liverpool
2025-08-15,cristianromero_tottenham,0.0,14.0,Cristian Romero,Tottenham
2025-08-15,crysenciosummerville_westham,0.0,15.0,Crysencio Summerville,West Ham
2025-08-15,danielmunoz_crystalpalace,0.0,16.0,Daniel Munoz,Crystal Palace
2025-08-15,danndoye_notthamforest,0.0,17.0,Dan Ndoye,Nott'ham Forest
2025-08-15,davidmollerwolfe_wolves,0.0,18.0,David Moller Wolfe,Wolves
2025-08-15,declanrice_arsenal,0.0,19.0,Declan Rice,Arsenal
2025-08-15,diogodalot_manchesterutd,0.0,20.0,Diogo Dalot,Manchester Utd
2025-08-15,eberechieze_arsenal,0.0,21.0,Eberechi Eze,Arsenal
2025-08-15,elhadjimalickdiouf_westham,0.0,22.0,El Hadji Malick Diouf,West Ham
2025-08-15,elliotanderson_notthamforest,0.0,23.0,Elliot Anderson,Nott'ham Forest
2025-08-15,emibuendia_astonvilla,0.0,24.0,Emi Buendia,Aston Villa
2025-08-15,enzofernandez_chelsea,0.0,25.0,Enzo Fernandez,Chelsea
2025-08-15,erlinghaaland_manchestercity,0.0,26.0,Erling Haaland,Manchester City
2025-08-15,estevaowillian_chelsea,0.0,27.0,Estevao Willian,Chelsea
2025-08-15,ferlopez_wolves,0.0,28.0,Fer Lopez,Wolves
2025-08-15,frankonyeka_brentford,0.0,29.0,Frank Onyeka,Brentford
2025-08-15,georginiorutter_brighton,0.0,30.0,Georginio Rutter,Brighton
2025-08-15,granitxhaka_sunderland,0.0,31.0,Granit Xhaka,Sunderland
2025-08-15,harrymaguire_manchesterutd,0.0,32.0,Harry Maguire,Manchester Utd
2025-08-15,ilimanndiaye_everton,0.0,33.0,Iliman Ndiaye,Everton
2025-08-15,jackgrealish_everton,0.0,34.0,Jack Grealish,Everton
2025-08-15,jacobbruunlarsen_burnley,0.0,35.0,Jacob Bruun Larsen,Burnley
2025-08-15,jacobmurphy_newcastleutd,0.0,36.0,Jacob Murphy,Newcastle Utd
2025-08-15,jaidonanthony_burnley,0.0,37.0,Jaidon Anthony,Burnley
2025-08-15,jamesgarner_everton,0.0,38.0,James Garner,Everton
2025-08-15,jeremydoku_manchestercity,0.0,39.0,Jeremy Doku,Manchester City
2025-08-15,joaopedro_chelsea,0.0,40.0,Joao Pedro,Chelsea
2025-08-15,jordanhenderson_brentford,0.0,41.0,Jordan Henderson,Brentford
2025-08-15,joshcullen_burnley,0.0,42.0,Josh Cullen,Burnley
2025-08-15,jurrientimber_arsenal,0.0,43.0,Jurrien Timber,Arsenal
2025-08-15,kaorumitoma_brighton,0.0,44.0,Kaoru Mitoma,Brighton
2025-08-15,kiernandewsburyhall_everton,0.0,45.0,Kiernan Dewsbury-Hall,Everton
2025-08-15,kristofferajer_brentford,0.0,46.0,Kristoffer Ajer,Brentford
2025-08-15,leandrotrossard_arsenal,0.0,47.0,Leandro Trossard,Arsenal
2025-08-15,lucasbergvall_tottenham,0.0,48.0,Lucas Bergvall,Tottenham
2025-08-15,lucasdigne_astonvilla,0.0,49.0,Lucas Digne,Aston Villa
2025-08-15,lylefoster_burnley,0.0,50.0,Lyle Foster,Burnley
2025-08-15,marccucurella_chelsea,0.0,51.0,Marc Cucurella,Chelsea
2025-08-15,marcguehi_crystalpalace,0.0,52.0,Marc Guehi,Crystal Palace
2025-08-15,marcossenesi_bournemouth,0.0,53.0,Marcos Senesi,Bournemouth
2025-08-15,marshallmunetsi_wolves,0.0,54.0,Marshall Munetsi,Wolves
2025-08-15,martinodegaard_arsenal,0.0,55.0,Martin Odegaard,Arsenal
2025-08-15,matswieffer_brighton,0.0,56.0,Mats Wieffer,Brighton
2025-08-15,maxencelacroix_crystalpalace,0.0,57.0,Maxence Lacroix,Crystal Palace
2025-08-15,mohamedsalah_liverpool,0.0,58.0,Mohamed Salah,Liverpool
2025-08-15,mohammedkudus_tottenham,0.0,59.0,Mohammed Kudus,Tottenham
2025-08-15,morgangibbswhite_notthamforest,0.0,60.0,Morgan Gibbs-White,Nott'ham Forest
2025-08-15,morganrogers_astonvilla,0.0,61.0,Morgan Rogers,Aston Villa
2025-08-15,omaralderete_sunderland,0.0,62.0,Omar Alderete,Sunderland
2025-08-15,omarmarmoush_manchestercity,0.0,63.0,Omar Marmoush,Manchester City
2025-08-15,oscarbobb_manchestercity,0.0,64.0,Oscar Bobb,Manchester City
2025-08-15,papematarsarr_tottenham,0.0,65.0,Pape Matar Sarr,Tottenham
2025-08-15,patrickdorgu_manchesterutd,0.0,66.0,Patrick Dorgu,Manchester Utd
2025-08-15,quilindschyhartman_burnley,0.0,67.0,Quilindschy Hartman,Burnley
2025-08-15,reecejames_chelsea,0.0,68.0,Reece James,Chelsea
2025-08-15,riccardocalafiori_arsenal,0.0,69.0,Riccardo Calafiori,Arsenal
2025-08-15,richarlison_tottenham,0.0,70.0,Richarlison,Tottenham
2025-08-15,ricolewis_manchestercity,0.0,71.0,Rico Lewis,Manchester City
2025-08-15,rodrigomuniz_fulham,0.0,72.0,Rodrigo Muniz,Fulham
2025-08-15,ryangravenberch_liverpool,0.0,73.0,Ryan Gravenberch,Liverpool
2025-08-15,sandrotonali_newcastleutd,0.0,74.0,Sandro Tonali,Newcastle Utd
2025-08-15,sasalukic_fulham,0.0,75.0,Sasa Lukic,Fulham
2025-08-15,seanlongstaff_leedsunited,0.0,76.0,Sean Longstaff,Leeds United
2025-08-15,tijjanireijnders_manchestercity,0.0,77.0,Tijjani Reijnders,Manchester City
2025-08-15,valentinolivramento_newcastleutd,0.0,78.0,Valentino Livramento,Newcastle Utd
2025-08-15,xavisimons_tottenham,0.0,79.0,Xavi Simons,Tottenham
2025-08-15,yankubaminteh_brighton,0.0,80.0,Yankuba Minteh,Brighton
2025-08-15,yehoryarmoliuk_brentford,0.0,81.0,Yehor Yarmoliuk,Brentford
2025-08-16,mohammedkudus_tottenham,2.0,1.0,Mohammed Kudus,Tottenham
2025-08-16,alexismacallister_liverpool,1.0,2.0,Alexis Mac Allister,Liverpool
2025-08-16,chemsdinetalbi_sunderland,1.0,3.0,Chemsdine Talbi,Sunderland
2025-08-16,davidbrooks_bournemouth,1.0,4.0,David Brooks,Bournemouth
2025-08-16,hamedjuniortraore_bournemouth,1.0,5.0,Hamed Junior Traore,Bournemouth
2025-08-16,hugoekitike_liverpool,1.0,6.0,Hugo Ekitike,Liverpool
2025-08-16,omaralderete_sunderland,1.0,7.0,Omar Alderete,Sunderland
2025-08-16,oscarbobb_manchestercity,1.0,8.0,Oscar Bobb,Manchester City
2025-08-16,papematarsarr_tottenham,1.0,9.0,Pape Matar Sarr,Tottenham
2025-08-16,ricolewis_manchestercity,1.0,10.0,Rico Lewis,Manchester City
2025-08-16,tijjanireijnders_manchestercity,1.0,11.0,Tijjani Reijnders,Manchester City
2025-08-16,wataruendo_liverpool,1.0,12.0,Wataru Endo,Liverpool
2025-08-16,alexiwobi_fulham,0.0,13.0,Alex Iwobi,Fulham
2025-08-16,antoinesemenyo_bournemouth,0.0,14.0,Antoine Semenyo,Bournemouth
2025-08-16,antonstach_leedsunited,0.0,15.0,Anton Stach,Leeds United
2025-08-16,bernardosilva_manchestercity,0.0,16.0,Bernardo Silva,Manchester City
2025-08-16,boubacarkamara_astonvilla,0.0,17.0,Boubacar Kamara,Aston Villa
2025-08-16,brajangruda_brighton,0.0,18.0,Brajan Gruda,Brighton
2025-08-16,codygakpo_liverpool,0.0,19.0,Cody Gakpo,Liverpool
2025-08-16,cristianromero_tottenham,0.0,20.0,Cristian Romero,Tottenham
2025-08-16,crysenciosummerville_westham,0.0,21.0,Crysencio Summerville,West Ham
2025-08-16,danielmunoz_crystalpalace,0.0,22.0,Daniel Munoz,Crystal Palace
2025-08-16,danndoye_notthamforest,0.0,23.0,Dan Ndoye,Nott'ham Forest
2025-08-16,davidmollerwolfe_wolves,0.0,24.0,David Moller Wolfe,Wolves
2025-08-16,declanrice_arsenal,0.0,25.0,Declan Rice,Arsenal
2025-08-16,diogodalot_manchesterutd,0.0,26.0,Diogo Dalot,Manchester Utd
2025-08-16,eberechieze_arsenal,0.0,27.0,Eberechi Eze,Arsenal
2025-08-16,elhadjimalickdiouf_westham,0.0,28.0,El Hadji Malick Diouf,West Ham
2025-08-16,elliotanderson_notthamforest,0.0,29.0,Elliot Anderson,Nott'ham Forest
2025-08-16,emibuendia_astonvilla,0.0,30.0,Emi Buendia,Aston Villa
2025-08-16,enzofernandez_chelsea,0.0,31.0,Enzo Fernandez,Chelsea
2025-08-16,erlinghaaland_manchestercity,0.0,32.0,Erling Haaland,Manchester City
2025-08-16,estevaowillian_chelsea,0.0,33.0,Estevao Willian,Chelsea
2025-08-16,ferlopez_wolves,0.0,34.0,Fer Lopez,Wolves
2025-08-16,frankonyeka_brentford,0.0,35.0,Frank Onyeka,Brentford
2025-08-16,georginiorutter_brighton,0.0,36.0,Georginio Rutter,Brighton
2025-08-16,granitxhaka_sunderland,0.0,37.0,Granit Xhaka,Sunderland
2025-08-16,harrymaguire_manchesterutd,0.0,38.0,Harry Maguire,Manchester Utd
2025-08-16,ilimanndiaye_everton,0.0,39.0,Iliman Ndiaye,Everton
2025-08-16,jackgrealish_everton,0.0,40.0,Jack Grealish,Everton
2025-08-16,jacobbruunlarsen_burnley,0.0,41.0,Jacob Bruun Larsen,Burnley
2025-08-16,jacobmurphy_newcastleutd,0.0,42.0,Jacob Murphy,Newcastle Utd
2025-08-16,jaidonanthony_burnley,0.0,43.0,Jaidon Anthony,Burnley
2025-08-16,jamesgarner_everton,0.0,44.0,James Garner,Everton
2025-08-16,jeremydoku_manchestercity,0.0,45.0,Jeremy Doku,Manchester City
2025-08-16,joaopedro_chelsea,0.0,46.0,Joao Pedro,Chelsea
2025-08-16,jordanhenderson_brentford,0.0,47.0,Jordan Henderson,Brentford
2025-08-16,joshcullen_burnley,0.0,48.0,Josh Cullen,Burnley
2025-08-16,jurrientimber_arsenal,0.0,49.0,Jurrien Timber,Arsenal
2025-08-16,kaorumitoma_brighton,0.0,50.0,Kaoru Mitoma,Brighton
2025-08-16,kiernandewsburyhall_everton,0.0,51.0,Kiernan Dewsbury-Hall,Everton
2025-08-16,kristofferajer_brentford,0.0,52.0,Kristoffer Ajer,Brentford
2025-08-16,leandrotrossard_arsenal,0.0,53.0,Leandro Trossard,Arsenal
2025-08-16,lucasbergvall_tottenham,0.0,54.0,Lucas Bergvall,Tottenham
2025-08-16,lucasdigne_astonvilla,0.0,55.0,Lucas Digne,Aston Villa
2025-08-16,lylefoster_burnley,0.0,56.0,Lyle Foster,Burnley
2025-08-16,marccucurella_chelsea,0.0,57.0,Marc Cucurella,Chelsea
2025-08-16,marcguehi_crystalpalace,0.0,58.0,Marc Guehi,Crystal Palace
2025-08-16,marcossenesi_bournemouth,0.0,59.0,Marcos Senesi,Bournemouth
2025-08-16,marshallmunetsi_wolves,0.0,60.0,Marshall Munetsi,Wolves
2025-08-16,martinodegaard_arsenal,0.0,61.0,Martin Odegaard,Arsenal
2025-08-16,matswieffer_brighton,0.0,62.0,Mats Wieffer,Brighton
2025-08-16,maxencelacroix_crystalpalace,0.0,63.0,Maxence Lacroix,Crystal Palace
2025-08-16,mohamedsalah_liverpool,0.0,64.0,Mohamed Salah,Liverpool
2025-08-16,morgangibbswhite_notthamforest,0.0,65.0,Morgan Gibbs-White,Nott'ham Forest
2025-08-16,morganrogers_astonvilla,0.0,66.0,Morgan Rogers,Aston Villa
2025-08-16,omarmarmoush_manchestercity,0.0,67.0,Omar Marmoush,Manchester City
2025-08-16,patrickdorgu_manchesterutd,0.0,68.0,Patrick Dorgu,Manchester Utd
2025-08-16,quilindschyhartman_burnley,0.0,69.0,Quilindschy Hartman,Burnley
2025-08-16,reecejames_chelsea,0.0,70.0,Reece James,Chelsea
2025-08-16,riccardocalafiori_arsenal,0.0,71.0,Riccardo Calafiori,Arsenal
2025-08-16,richarlison_tottenham,0.0,72.0,Richarlison,Tottenham
2025-08-16,rodrigomuniz_fulham,0.0,73.0,Rodrigo Muniz,Fulham
2025-08-16,ryangravenberch_liverpool,0.0,74.0,Ryan Gravenberch,Liverpool
2025-08-16,sandrotonali_newcastleutd,0.0,75.0,Sandro Tonali,Newcastle Utd
2025-08-16,sasalukic_fulham,0.0,76.0,Sasa Lukic,Fulham
2025-08-16,seanlongstaff_leedsunited,0.0,77.0,Sean Longstaff,Leeds United
2025-08-16,valentinolivramento_newcastleutd,0.0,78.0,Valentino Livramento,Newcastle Utd
